mean_phred_score	n_sequences	sample	read_pair	stage
25	4602534	1A	1	cleaned
26	6115008	1A	1	cleaned
27	6974951	1A	1	cleaned
28	6808594	1A	1	cleaned
29	5983752	1A	1	cleaned
30	5188642	1A	1	cleaned
31	4657178	1A	1	cleaned
32	4358881	1A	1	cleaned
33	4138997	1A	1	cleaned
34	3882312	1A	1	cleaned
35	3531659	1A	1	cleaned
36	3079502	1A	1	cleaned
37	2540888	1A	1	cleaned
38	1891000	1A	1	cleaned
39	1158064	1A	1	cleaned
40	489950	1A	1	cleaned
41	74183	1A	1	cleaned
42	206	1A	1	cleaned
25	3234236	1A	2	cleaned
26	5201443	1A	2	cleaned
27	6840611	1A	2	cleaned
28	6955415	1A	2	cleaned
29	5025610	1A	2	cleaned
30	4750516	1A	2	cleaned
31	4762425	1A	2	cleaned
32	4807421	1A	2	cleaned
33	4703729	1A	2	cleaned
34	4464452	1A	2	cleaned
35	4036335	1A	2	cleaned
36	3413037	1A	2	cleaned
37	2707520	1A	2	cleaned
38	2019254	1A	2	cleaned
39	1383169	1A	2	cleaned
40	812441	1A	2	cleaned
41	321299	1A	2	cleaned
42	37238	1A	2	cleaned
43	150	1A	2	cleaned
25	2778847	1C	1	cleaned
26	3701202	1C	1	cleaned
27	4256267	1C	1	cleaned
28	4194367	1C	1	cleaned
29	3691429	1C	1	cleaned
30	3190907	1C	1	cleaned
31	2852899	1C	1	cleaned
32	2657936	1C	1	cleaned
33	2520078	1C	1	cleaned
34	2371861	1C	1	cleaned
35	2166501	1C	1	cleaned
36	1904650	1C	1	cleaned
37	1585180	1C	1	cleaned
38	1191829	1C	1	cleaned
39	737085	1C	1	cleaned
40	319169	1C	1	cleaned
41	49433	1C	1	cleaned
42	159	1C	1	cleaned
25	1742452	1C	2	cleaned
26	2947985	1C	2	cleaned
27	4141183	1C	2	cleaned
28	4545365	1C	2	cleaned
29	3114401	1C	2	cleaned
30	2874107	1C	2	cleaned
31	2872742	1C	2	cleaned
32	2910354	1C	2	cleaned
33	2864305	1C	2	cleaned
34	2743359	1C	2	cleaned
35	2506448	1C	2	cleaned
36	2146694	1C	2	cleaned
37	1727463	1C	2	cleaned
38	1306496	1C	2	cleaned
39	913507	1C	2	cleaned
40	551238	1C	2	cleaned
41	230966	1C	2	cleaned
42	30624	1C	2	cleaned
43	110	1C	2	cleaned
25	4238529	2A	1	cleaned
26	5581850	2A	1	cleaned
27	6356803	2A	1	cleaned
28	6226615	2A	1	cleaned
29	5483652	2A	1	cleaned
30	4749435	2A	1	cleaned
31	4269053	2A	1	cleaned
32	3985614	2A	1	cleaned
33	3783635	2A	1	cleaned
34	3560588	2A	1	cleaned
35	3243059	2A	1	cleaned
36	2834186	2A	1	cleaned
37	2340447	2A	1	cleaned
38	1744462	2A	1	cleaned
39	1069002	2A	1	cleaned
40	455477	2A	1	cleaned
41	68179	2A	1	cleaned
42	205	2A	1	cleaned
25	2552914	2A	2	cleaned
26	4277159	2A	2	cleaned
27	6023677	2A	2	cleaned
28	6789617	2A	2	cleaned
29	4661227	2A	2	cleaned
30	4296645	2A	2	cleaned
31	4296772	2A	2	cleaned
32	4367440	2A	2	cleaned
33	4316820	2A	2	cleaned
34	4139020	2A	2	cleaned
35	3799628	2A	2	cleaned
36	3261360	2A	2	cleaned
37	2623223	2A	2	cleaned
38	1982996	2A	2	cleaned
39	1382815	2A	2	cleaned
40	830926	2A	2	cleaned
41	346493	2A	2	cleaned
42	41908	2A	2	cleaned
43	151	2A	2	cleaned
25	3073481	2C	1	cleaned
26	3978325	2C	1	cleaned
27	4414082	2C	1	cleaned
28	4224623	2C	1	cleaned
29	3693425	2C	1	cleaned
30	3220895	2C	1	cleaned
31	2932428	2C	1	cleaned
32	2770333	2C	1	cleaned
33	2636174	2C	1	cleaned
34	2453563	2C	1	cleaned
35	2186502	2C	1	cleaned
36	1849115	2C	1	cleaned
37	1468162	2C	1	cleaned
38	1044601	2C	1	cleaned
39	604445	2C	1	cleaned
40	236013	2C	1	cleaned
41	30095	2C	1	cleaned
42	81	2C	1	cleaned
25	2041730	2C	2	cleaned
26	3295581	2C	2	cleaned
27	4327788	2C	2	cleaned
28	4256224	2C	2	cleaned
29	3100074	2C	2	cleaned
30	2946139	2C	2	cleaned
31	2968179	2C	2	cleaned
32	3011402	2C	2	cleaned
33	2961908	2C	2	cleaned
34	2821815	2C	2	cleaned
35	2542959	2C	2	cleaned
36	2138072	2C	2	cleaned
37	1679786	2C	2	cleaned
38	1234310	2C	2	cleaned
39	830338	2C	2	cleaned
40	472356	2C	2	cleaned
41	171082	2C	2	cleaned
42	16540	2C	2	cleaned
43	60	2C	2	cleaned
25	4265358	6A	1	cleaned
26	5595221	6A	1	cleaned
27	6355657	6A	1	cleaned
28	6205763	6A	1	cleaned
29	5456413	6A	1	cleaned
30	4736259	6A	1	cleaned
31	4258171	6A	1	cleaned
32	3981744	6A	1	cleaned
33	3784375	6A	1	cleaned
34	3556035	6A	1	cleaned
35	3223322	6A	1	cleaned
36	2796594	6A	1	cleaned
37	2293672	6A	1	cleaned
38	1696597	6A	1	cleaned
39	1033485	6A	1	cleaned
40	431187	6A	1	cleaned
41	61888	6A	1	cleaned
42	160	6A	1	cleaned
25	2622154	6A	2	cleaned
26	4289975	6A	2	cleaned
27	6001562	6A	2	cleaned
28	6768479	6A	2	cleaned
29	4628437	6A	2	cleaned
30	4284310	6A	2	cleaned
31	4286989	6A	2	cleaned
32	4369050	6A	2	cleaned
33	4309555	6A	2	cleaned
34	4144435	6A	2	cleaned
35	3806477	6A	2	cleaned
36	3254749	6A	2	cleaned
37	2593088	6A	2	cleaned
38	1934266	6A	2	cleaned
39	1328114	6A	2	cleaned
40	780815	6A	2	cleaned
41	301111	6A	2	cleaned
42	28224	6A	2	cleaned
43	111	6A	2	cleaned
25	3255630	6C	1	cleaned
26	4221374	6C	1	cleaned
27	4704287	6C	1	cleaned
28	4526922	6C	1	cleaned
29	3979113	6C	1	cleaned
30	3470831	6C	1	cleaned
31	3141870	6C	1	cleaned
32	2953070	6C	1	cleaned
33	2808127	6C	1	cleaned
34	2626629	6C	1	cleaned
35	2377509	6C	1	cleaned
36	2057193	6C	1	cleaned
37	1673829	6C	1	cleaned
38	1217912	6C	1	cleaned
39	722571	6C	1	cleaned
40	296941	6C	1	cleaned
41	42014	6C	1	cleaned
42	108	6C	1	cleaned
25	2495488	6C	2	cleaned
26	3865611	6C	2	cleaned
27	4724797	6C	2	cleaned
28	4403874	6C	2	cleaned
29	3339762	6C	2	cleaned
30	3207180	6C	2	cleaned
31	3228436	6C	2	cleaned
32	3243510	6C	2	cleaned
33	3158235	6C	2	cleaned
34	2972643	6C	2	cleaned
35	2657124	6C	2	cleaned
36	2219484	6C	2	cleaned
37	1742383	6C	2	cleaned
38	1276513	6C	2	cleaned
39	855911	6C	2	cleaned
40	486902	6C	2	cleaned
41	179721	6C	2	cleaned
42	18304	6C	2	cleaned
43	52	6C	2	cleaned
25	3800951	SS1	1	cleaned
26	4839408	SS1	1	cleaned
27	5350168	SS1	1	cleaned
28	5143773	SS1	1	cleaned
29	4524031	SS1	1	cleaned
30	3954966	SS1	1	cleaned
31	3575369	SS1	1	cleaned
